2265,Dieticians and nutritionists,226,Other health professionals,22,"Machinery used for processing material, such as …",2,Professionals
2265,Dieticians and nutritionists,226,"Crushing, splitting of stone",22,Manufacture of rubber and plastics products,C,Manufacturing
2265,Dieticians and nutritionists,226,"Crushing, splitting of stone",22,Health professionals,2,Machines
2265,Dieticians and nutritionists,226,"Crushing, splitting of stone",22,Health professionals,2,Professionals
2265,Dieticians and nutritionists,226,"Crushing, splitting of stone",22,"Machinery used for processing material, such as …",2,Machines
2265,Dieticians and nutritionists,226,"Crushing, splitting of stone",22,"Machinery used for processing material, such as …",2,Professionals
9111,Domestic cleaners and helpers,911,"Domestic, hotel and office cleaners and helpers",91,Cleaners and helpers,9,Elementary occupations
9111,Domestic cleaners and helpers,911,"Domestic, hotel and office cleaners and helpers",91,"Libraries, archives, museums and other cultural activities",R,"Arts, entertainment and recreation"
5152,Domestic housekeepers,515,Building and housekeeping supervisors,51,Air transport,"H ",Transportation and storage
5152,Domestic housekeepers,515,Building and housekeeping supervisors,51,Personal Services,5,Service and sales workers
5243,Door to door salespersons,524,Other sales workers,52,Warehousing  and support activities for transportation,"H ",Transportation and storage
5243,Door to door salespersons,524,Other sales workers,52,Sales workers,5,Service and sales workers
3118,Draughts persons,311,Physical and engineering science technicians,31,Manufacture of furniture,C,Manufacturing
3118,Draughts persons,311,Physical and engineering science technicians,31,Equipment for working at heights,3,Equipment
3118,Draughts persons,311,Physical and engineering science technicians,31,Equipment for working at heights,3,Technicians and associate professionals
3118,Draughts persons,311,Physical and engineering science technicians,31,Science and engineering associate professionals,3,Equipment
3118,Draughts persons,311,Physical and engineering science technicians,31,Science and engineering associate professionals,3,Technicians and associate professionals
9332,Drivers of animal-drawn vehicles and machinery,933,Transport and storage labourers,93,Sports activities and amusement  and recreation activities,R,"Arts, entertainment and recreation"
9332,Drivers of animal-drawn vehicles and machinery,933,Transport and storage labourers,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
5165,Driving instructors,516,Other personal services workers,51,Air transport,"H ",Transportation and storage
5165,Driving instructors,516,Other personal services workers,51,Personal Services,5,Service and sales workers
2342,Early childhood educators,234,Primary school and early childhood teachers,23,Manufacture of other non-metallic mineral products,C,Manufacturing
2342,Early childhood educators,234,Primary school and early childhood teachers,23,Teaching professionals,2,Machines
2342,Early childhood educators,234,Primary school and early childhood teachers,23,Teaching professionals,2,Professionals
2342,Early childhood educators,234,Primary school and early childhood teachers,23,Vehicles used for …,2,Machines
2342,Early childhood educators,234,Primary school and early childhood teachers,23,Vehicles used for …,2,Professionals
8342,Earthmoving and related plant operators,834,Mobile plant operators,83,Drivers and mobile plant operators,8,"Plant and machine operators, and assemblers"
1345,Education managers,134,Professional services managers,13,Manufacture of textiles,C,Manufacturing
1345,Education managers,134,Professional services managers,13,Production and specialised services managers,1,Managers
1345,Education managers,134,Professional services managers,13,Production and specialised services managers,1,Tools
8212,Electrical and electronic equipment assemblers,821,Office administrative and support activities,82,"Office administrative, office support and other business support activities",N,Administrative and support service activities
8212,Electrical and electronic equipment assemblers,821,Office administrative and support activities,82,Assemblers,8,"Plant and machine operators, and assemblers"
8212,Electrical and electronic equipment assemblers,821,Assemblers,82,"Office administrative, office support and other business support activities",N,Administrative and support service activities
